,MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,GrLivArea,Bedroom,Kitchen,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,BsmtBath,Bath,2Materials,MSZoning_RL,MSZoning_RM,Alley_No,LotShape_Reg,LotShape_IR1,LandContour_Lvl,LotConfig_Inside,LotConfig_Corner,LandSlope_Gtl,Condition1_Norm,BldgType_1Fam,HouseStyle_1Story,HouseStyle_2Story,RoofStyle_Gable,RoofStyle_Hip,Exterior1st_VinylSd,Exterior1st_HdBoard,Exterior1st_MetalSd,Exterior1st_Wd Sdng,Exterior2nd_VinylSd,Exterior2nd_MetalSd,Exterior2nd_HdBoard,MasVnrType_None,MasVnrType_BrkFace,Foundation_PConc,Foundation_CBlock,BsmtExposure_No,BsmtExposure_Av,Heating_GasA,Electrical_SBrkr,GarageType_Attchd,GarageType_Detchd,PavedDrive_Y,MiscFeature_No,SaleType_WD,SaleCondition_Normal,MSSubClass_120,MSSubClass_160,MSSubClass_180,MSSubClass_190,MSSubClass_20,MSSubClass_30,MSSubClass_40,MSSubClass_45,MSSubClass_50,MSSubClass_60,MSSubClass_70,MSSubClass_75,MSSubClass_80,MSSubClass_85,MSSubClass_90,MSSubClass_150,SalePrice
0,3,4.189654742026425,9.042040056544483,2,1,2,1,1,197200.0,3,2,4,7,5,2003,2003,2,3,2,2,5.2832037287379885,4,3,3,4,3,1,6,6.561030665896573,1,0.0,5.017279836814924,6.75343791859778,3,5,1,3,6.75110146893676,7.444833273892193,3,0.6931471805599453,4,8,8,0,0,2,2003.0,2,548,3,3,3,0.0,4.127134385045092,0.0,0.0,0.0,0,2,2,2008,2,1,1.0,2.5,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.24769911637256
1,3,4.394449154672439,9.169622538697624,2,1,2,1,1,206000.0,2,2,3,6,8,1976,1976,2,4,2,1,0.0,3,3,1,4,3,3,5,6.88653164253051,1,0.0,5.652489180268651,7.141245122350491,3,5,1,3,0.0,7.141245122350491,3,0.6931471805599453,3,6,8,1,3,2,1976.0,2,460,3,3,3,5.700443573390687,0.0,0.0,0.0,0.0,0,2,5,2007,2,1,0.5,2.0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.109016442313738
2,3,4.23410650459726,9.328212292571072,2,2,2,1,1,197200.0,3,2,4,7,5,2001,2002,2,3,2,2,5.093750200806762,4,3,3,4,3,2,6,6.18826412308259,1,0.0,6.075346031088684,6.825460036255307,3,5,1,3,6.7650389767805414,7.488293515159428,3,0.6931471805599453,4,6,8,1,3,2,2001.0,2,608,3,3,3,0.0,3.7612001156935624,0.0,0.0,0.0,0,2,9,2008,2,1,1.0,2.5,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.317171167298682
3,3,4.110873864173311,9.164401140034737,2,2,2,1,1,200624.0,3,2,4,7,5,1915,1970,2,4,2,1,0.0,3,3,1,3,4,1,5,5.37989735354046,1,0.0,6.293419278846481,6.6293632534374485,3,4,1,3,6.6293632534374485,7.4489161025442,3,0.6931471805599453,4,7,8,1,4,1,1998.0,1,642,3,3,3,0.0,3.58351893845611,5.60947179518496,0.0,0.0,0,2,2,2006,2,1,1.0,1.0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.849404844423074
4,3,4.442651256490317,9.565283817736766,2,2,2,1,1,301500.0,3,2,4,8,5,2000,2000,2,3,2,2,5.860786223465865,4,3,3,4,3,2,6,6.486160788944089,1,0.0,6.19644412779452,7.044032897274685,3,5,1,3,6.960347729101308,7.695757990554761,4,0.6931471805599453,4,9,8,1,3,2,2000.0,2,836,3,3,3,5.262690188904886,4.442651256490317,0.0,0.0,0.0,0,2,12,2008,2,1,1.0,2.5,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.429220196836383
6,3,4.330733340286331,9.218804450388312,2,1,2,1,1,225500.0,3,2,3,8,5,2004,2005,2,3,2,3,5.231108616854587,4,3,3,5,3,2,6,7.222566018822171,1,0.0,5.762051382780177,7.430707082545968,3,5,1,3,0.0,7.43543801981455,3,0.6931471805599453,4,7,8,1,4,2,2004.0,2,636,3,3,3,5.545177444479562,4.060443010546419,0.0,0.0,0.0,0,2,8,2007,2,1,1.0,2.0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.634606283893019
7,3,4.248495242049359,9.247925132303454,2,2,2,1,1,182900.0,4,2,4,7,6,1973,1973,2,4,2,3,5.484796933490655,3,3,1,4,3,2,5,6.756932389247553,4,3.4965075614664802,5.37989735354046,7.010311867307229,3,5,1,3,6.891625897052253,7.645397699428633,3,0.6931471805599453,3,7,8,2,3,2,1973.0,2,484,3,3,3,5.4638318050256105,5.3230099791384085,5.43372200355424,0.0,0.0,0,2,11,2009,2,1,1.0,2.5,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.206077645517674
11,3,4.454347296253507,9.386392315756542,2,2,2,1,1,314906.5,3,2,4,9,5,2005,2006,3,3,2,3,5.659482215759621,5,3,3,5,3,1,6,6.906754778648554,1,0.0,5.181783550292085,7.069874128458572,3,5,1,3,7.04141166379481,7.751475318021456,4,0.6931471805599453,5,11,8,2,4,3,2005.0,3,736,3,3,3,4.997212273764115,3.091042453358316,0.0,0.0,0.0,0,2,7,2006,3,2,1.0,3.0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.75130259456002
13,3,4.5217885770490405,9.273596821611198,2,2,2,1,1,197200.0,3,2,3,7,5,2006,2007,2,3,2,3,5.726847747587197,4,3,3,4,3,2,1,0.0,1,0.0,7.3098814858247865,7.3098814858247865,3,5,1,3,0.0,7.3098814858247865,3,0.6931471805599453,4,7,8,1,4,2,2006.0,2,840,3,3,3,5.081404364984463,3.5263605246161616,0.0,0.0,0.0,0,2,8,2007,3,2,0.0,2.0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.540761149388421
18,3,4.204692619390966,9.524859098381523,2,1,2,1,1,184900.0,2,2,3,5,5,2004,2004,2,3,2,1,0.0,3,3,3,3,3,1,6,6.472346294500901,1,0.0,6.150602768446279,7.016609683894219,3,5,1,3,0.0,7.016609683894219,3,0.6931471805599453,4,6,8,0,0,1,2004.0,1,576,3,3,3,0.0,4.634728988229636,0.0,0.0,0.0,0,2,6,2008,2,1,1.0,1.5,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.976665770490767
