,MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,GrLivArea,Bedroom,Kitchen,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,BsmtBath,Bath,2Materials,MSZoning_RL,MSZoning_RM,Alley_No,LotShape_Reg,LotShape_IR1,LandContour_Lvl,LotConfig_Inside,LotConfig_Corner,LandSlope_Gtl,Condition1_Norm,BldgType_1Fam,HouseStyle_1Story,HouseStyle_2Story,RoofStyle_Gable,RoofStyle_Hip,Exterior1st_VinylSd,Exterior1st_HdBoard,Exterior1st_MetalSd,Exterior1st_Wd Sdng,Exterior2nd_VinylSd,Exterior2nd_MetalSd,Exterior2nd_HdBoard,MasVnrType_None,MasVnrType_BrkFace,Foundation_PConc,Foundation_CBlock,BsmtExposure_No,BsmtExposure_Av,Heating_GasA,Electrical_SBrkr,GarageType_Attchd,GarageType_Detchd,PavedDrive_Y,MiscFeature_No,SaleType_WD,SaleCondition_Normal,MSSubClass_120,MSSubClass_160,MSSubClass_180,MSSubClass_190,MSSubClass_20,MSSubClass_30,MSSubClass_40,MSSubClass_45,MSSubClass_50,MSSubClass_60,MSSubClass_70,MSSubClass_75,MSSubClass_80,MSSubClass_85,MSSubClass_90,MSSubClass_150,SalePrice
0,3,4.189654742026425,9.042040056544483,2,1,2,1,1,197200.0,3,2,4,7,5,2003,2003,2,3,2,2,5.2832037287379885,4,3,3,4,3,1,6,6.561030665896573,1,0.0,5.017279836814924,6.75343791859778,3,5,1,3,6.75110146893676,7.444833273892193,3,0.6931471805599453,4,8,8,0,0,2,2003.0,2,548,3,3,3,0.0,4.127134385045092,0.0,0.0,0.0,0,2,2,2008,2,1,1.0,2.5,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.24769911637256
1,3,4.394449154672439,9.169622538697624,2,1,2,1,1,206000.0,2,2,3,6,8,1976,1976,2,4,2,1,0.0,3,3,1,4,3,3,5,6.88653164253051,1,0.0,5.652489180268651,7.141245122350491,3,5,1,3,0.0,7.141245122350491,3,0.6931471805599453,3,6,8,1,3,2,1976.0,2,460,3,3,3,5.700443573390687,0.0,0.0,0.0,0.0,0,2,5,2007,2,1,0.5,2.0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.109016442313738
3,3,4.110873864173311,9.164401140034737,2,2,2,1,1,200624.0,3,2,4,7,5,1915,1970,2,4,2,1,0.0,3,3,1,3,4,1,5,5.37989735354046,1,0.0,6.293419278846481,6.6293632534374485,3,4,1,3,6.6293632534374485,7.4489161025442,3,0.6931471805599453,4,7,8,1,4,1,1998.0,1,642,3,3,3,0.0,3.58351893845611,5.60947179518496,0.0,0.0,0,2,2,2006,2,1,1.0,1.0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.849404844423074
5,3,4.454347296253507,9.55506418479516,2,2,2,1,1,154750.0,3,2,2,5,5,1993,1995,2,3,2,1,0.0,3,3,2,4,3,1,6,6.597145701886651,1,0.0,4.174387269895637,6.680854678790215,3,5,1,3,6.340359303727752,7.217443431696533,1,0.6931471805599453,3,5,8,0,0,2,1993.0,1,480,3,3,3,3.713572066704308,3.4339872044851463,0.0,5.771441123130016,0.0,3,2,10,2009,2,1,1.0,1.5,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11.870606902224587
7,3,4.248495242049359,9.247925132303454,2,2,2,1,1,182900.0,4,2,4,7,6,1973,1973,2,4,2,3,5.484796933490655,3,3,1,4,3,2,5,6.756932389247553,4,3.4965075614664802,5.37989735354046,7.010311867307229,3,5,1,3,6.891625897052253,7.645397699428633,3,0.6931471805599453,3,7,8,2,3,2,1973.0,2,484,3,3,3,5.4638318050256105,5.3230099791384085,5.43372200355424,0.0,0.0,0,2,11,2009,2,1,1.0,2.5,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.206077645517674
8,2,3.9512437185814275,8.71948076085107,2,1,2,1,1,118250.0,1,2,2,7,5,1931,1950,2,1,2,1,0.0,3,3,1,3,3,1,1,0.0,1,0.0,6.859614903654202,6.859614903654202,3,4,1,2,6.6240652277998935,7.4815557019095165,2,1.0986122886681098,3,8,7,2,3,1,1931.0,1,468,2,3,3,4.51085950651685,0.0,5.327876168789581,0.0,0.0,0,2,4,2008,2,1,0.0,2.0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11.774527900858468
9,3,3.9318256327243257,8.912069097970134,2,1,2,1,1,127000.0,1,1,1,5,6,1939,1950,2,4,2,1,0.0,3,3,1,3,3,1,6,6.747586526829315,1,0.0,4.948759890378168,6.899723107284872,3,5,1,3,0.0,6.982862751468942,2,1.0986122886681098,3,5,8,2,3,2,1939.0,2,205,4,3,3,0.0,1.6094379124341003,0.0,0.0,0.0,0,2,1,2008,2,1,1.0,1.0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.678448377988165
10,3,4.2626798770413155,9.32375833901174,2,1,2,1,1,135000.0,3,2,3,5,5,1965,1965,3,4,2,1,0.0,3,3,1,3,3,1,3,6.810142450115136,1,0.0,4.90527477843843,6.947937068614969,3,5,1,3,0.0,6.947937068614969,3,0.6931471805599453,3,5,8,0,0,1,1965.0,1,384,3,3,3,0.0,0.0,0.0,0.0,0.0,0,2,2,2008,2,1,1.0,1.0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.771443882099637
12,3,4.248495242049359,9.470317173335742,2,2,2,1,1,135000.0,3,2,3,5,6,1962,1962,3,4,2,1,0.0,3,3,1,3,3,1,5,6.6039438246004725,1,0.0,5.170483995038151,6.816735880594968,3,3,1,3,0.0,6.816735880594968,2,0.6931471805599453,3,4,8,0,0,1,1962.0,1,352,3,3,3,4.948759890378168,0.0,0.0,0.0,5.176149732573829,0,2,9,2008,2,1,1.0,1.0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.87757552297847
14,3,4.248495242049359,9.298442820197728,2,2,2,1,1,141000.0,3,2,3,6,5,1960,1960,3,4,2,2,5.3612921657094255,3,3,1,3,3,1,4,6.598509028614515,1,0.0,6.255750041753367,7.134093721192866,3,3,1,3,0.0,7.134093721192866,2,0.6931471805599453,3,5,8,1,2,2,1960.0,2,352,3,3,3,0.0,5.365976015021851,5.176149732573829,0.0,0.0,2,2,5,2008,2,1,1.0,1.5,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.964007453736912
