DATE,MSPNHSUS
2006-01-01,244900
2006-02-01,250800
2006-03-01,238800
2006-04-01,257000
2006-05-01,238200
2006-06-01,243200
2006-07-01,238100
2006-08-01,243900
2006-09-01,226700
2006-10-01,250400
2006-11-01,240100
2006-12-01,244700
2007-01-01,254400
2007-02-01,250800
2007-03-01,262600
2007-04-01,242500
2007-05-01,245000
2007-06-01,235500
2007-07-01,246200
2007-08-01,236500
2007-09-01,240300
2007-10-01,234300
2007-11-01,249100
2007-12-01,227700
2008-01-01,232400
2008-02-01,245300
2008-03-01,229300
2008-04-01,246400
2008-05-01,229300
2008-06-01,234300
2008-07-01,237300
2008-08-01,221000
2008-09-01,225200
2008-10-01,213200
2008-11-01,221600
2008-12-01,229600
2009-01-01,208600
2009-02-01,209700
2009-03-01,205100
2009-04-01,219200
2009-05-01,222300
2009-06-01,214700
2009-07-01,214200
2009-08-01,207100
2009-09-01,216600
2009-10-01,215100
2009-11-01,218800
2009-12-01,222600
2010-01-01,218200
2010-02-01,221900
2010-03-01,224800
2010-04-01,208300
2010-05-01,230500
2010-06-01,219500
2010-07-01,212100
2010-08-01,226600
2010-09-01,228000
2010-10-01,204200
2010-11-01,219600
2010-12-01,241200
