MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,GrLivArea,Bedroom,Kitchen,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,BsmtBath,Bath,2Materials,MSZoning_RL,MSZoning_RM,Alley_No,LotShape_Reg,LotShape_IR1,LandContour_Lvl,LotConfig_Inside,LotConfig_Corner,LandSlope_Gtl,Condition1_Norm,BldgType_1Fam,HouseStyle_1Story,HouseStyle_2Story,RoofStyle_Gable,RoofStyle_Hip,Exterior1st_VinylSd,Exterior1st_HdBoard,Exterior1st_MetalSd,Exterior1st_Wd Sdng,Exterior2nd_VinylSd,Exterior2nd_MetalSd,Exterior2nd_HdBoard,MasVnrType_None,MasVnrType_BrkFace,Foundation_PConc,Foundation_CBlock,BsmtExposure_No,BsmtExposure_Av,Heating_GasA,Electrical_SBrkr,GarageType_Attchd,GarageType_Detchd,PavedDrive_Y,MiscFeature_No,SaleType_WD,SaleCondition_Normal,MSSubClass_120,MSSubClass_160,MSSubClass_180,MSSubClass_190,MSSubClass_20,MSSubClass_30,MSSubClass_40,MSSubClass_45,MSSubClass_50,MSSubClass_60,MSSubClass_70,MSSubClass_75,MSSubClass_80,MSSubClass_85,MSSubClass_90,MSSubClass_150,SalePrice
3,4.189654742026425,9.042040056544485,2,1,2,1,1,197200.0,3,2,4,7,5,2003,2003,2,3,2,2,5.2832037287379885,4,3,3,4,3,1,6,6.561030665896572,1,0.0,5.017279836814924,6.753437918597781,3,5,1,3,6.751101468936759,7.4448332738921925,3,0.6931471805599453,4,8,8,0,0,2,2003.0,2,548,3,3,3,0.0,4.127134385045092,0.0,0.0,0.0,0,2,2,2008,2,1,1.0,2.5,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.247699116372562
3,4.394449154672439,9.169622538697624,2,1,2,1,1,206000.0,2,2,3,6,8,1976,1976,2,4,2,1,0.0,3,3,1,4,3,3,5,6.886531642530509,1,0.0,5.652489180268652,7.141245122350491,3,5,1,3,0.0,7.141245122350491,3,0.6931471805599453,3,6,8,1,3,2,1976.0,2,460,3,3,3,5.700443573390688,0.0,0.0,0.0,0.0,0,2,5,2007,2,1,0.5,2.0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.109016442313738
3,4.23410650459726,9.328212292571072,2,2,2,1,1,197200.0,3,2,4,7,5,2001,2002,2,3,2,2,5.093750200806762,4,3,3,4,3,2,6,6.18826412308259,1,0.0,6.075346031088683,6.825460036255307,3,5,1,3,6.765038976780541,7.4882935151594285,3,0.6931471805599453,4,6,8,1,3,2,2001.0,2,608,3,3,3,0.0,3.7612001156935615,0.0,0.0,0.0,0,2,9,2008,2,1,1.0,2.5,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.317171167298682
3,4.110873864173311,9.164401140034736,2,2,2,1,1,200624.0,3,2,4,7,5,1915,1970,2,4,2,1,0.0,3,3,1,3,4,1,5,5.37989735354046,1,0.0,6.293419278846482,6.6293632534374485,3,4,1,3,6.6293632534374485,7.4489161025442,3,0.6931471805599453,4,7,8,1,4,1,1998.0,1,642,3,3,3,0.0,3.58351893845611,5.609471795184961,0.0,0.0,0,2,2,2006,2,1,1.0,1.0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.849404844423075
3,4.330733340286331,9.218804450388312,2,1,2,1,1,225500.0,3,2,3,8,5,2004,2005,2,3,2,3,5.231108616854587,4,3,3,5,3,2,6,7.22256601882217,1,0.0,5.762051382780178,7.430707082545968,3,5,1,3,0.0,7.4354380198145495,3,0.6931471805599453,4,7,8,1,4,2,2004.0,2,636,3,3,3,5.545177444479562,4.060443010546419,0.0,0.0,0.0,0,2,8,2007,2,1,1.0,2.0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.63460628389302
3,4.248495242049359,9.247925132303454,2,2,2,1,1,182900.0,4,2,4,7,6,1973,1973,2,4,2,3,5.484796933490656,3,3,1,4,3,2,5,6.756932389247552,4,3.49650756146648,5.37989735354046,7.010311867307229,3,5,1,3,6.891625897052253,7.645397699428632,3,0.6931471805599453,3,7,8,2,3,2,1973.0,2,484,3,3,3,5.4638318050256105,5.3230099791384085,5.433722003554241,0.0,0.0,0,2,11,2009,2,1,1.0,2.5,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.206077645517675
3,4.5217885770490405,9.273596821611196,2,2,2,1,1,197200.0,3,2,3,7,5,2006,2007,2,3,2,3,5.726847747587197,4,3,3,4,3,2,1,0.0,1,0.0,7.309881485824786,7.309881485824786,3,5,1,3,0.0,7.309881485824786,3,0.6931471805599453,4,7,8,1,4,2,2006.0,2,840,3,3,3,5.081404364984463,3.5263605246161616,0.0,0.0,0.0,0,2,8,2007,3,2,0.0,2.0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.540761149388421
3,4.204692619390967,9.524859098381523,2,1,2,1,1,184900.0,2,2,3,5,5,2004,2004,2,3,2,1,0.0,3,3,3,3,3,1,6,6.472346294500902,1,0.0,6.150602768446278,7.0166096838942185,3,5,1,3,0.0,7.0166096838942185,3,0.6931471805599453,4,6,8,0,0,1,2004.0,1,576,3,3,3,0.0,4.634728988229637,0.0,0.0,0.0,0,2,6,2008,2,1,1.0,1.5,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.976665770490769
3,4.330733340286331,9.184304357425342,2,1,2,1,1,197200.0,3,2,3,8,5,2002,2002,3,3,2,2,5.641907070938113,4,3,3,4,3,1,1,0.0,1,0.0,7.483244416073849,7.483244416073849,3,5,1,3,0.0,7.493317248862145,3,0.6931471805599453,4,7,8,1,4,2,2002.0,2,534,3,3,3,5.147494476813453,5.0751738152338275,0.0,0.0,0.0,0,2,9,2008,2,1,0.0,2.0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.345838935721968
3,4.4543472962535064,9.310185706945902,2,1,2,1,1,197200.0,3,2,3,8,5,2007,2007,2,3,2,1,0.0,4,3,3,5,3,2,1,0.0,1,0.0,7.118826249062077,7.118826249062077,3,5,1,3,0.0,7.118826249062077,3,0.6931471805599453,4,7,8,0,0,2,2007.0,2,484,3,3,3,0.0,3.4339872044851463,0.0,0.0,0.0,0,2,1,2008,2,1,0.0,2.0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.100161978566868
