,MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,GrLivArea,Bedroom,Kitchen,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,BsmtBath,Bath,2Materials,MSZoning_RL,MSZoning_RM,Alley_No,LotShape_Reg,LotShape_IR1,LandContour_Lvl,LotConfig_Inside,LotConfig_Corner,LandSlope_Gtl,Condition1_Norm,BldgType_1Fam,HouseStyle_1Story,HouseStyle_2Story,RoofStyle_Gable,RoofStyle_Hip,Exterior1st_VinylSd,Exterior1st_HdBoard,Exterior1st_MetalSd,Exterior1st_Wd Sdng,Exterior2nd_VinylSd,Exterior2nd_MetalSd,Exterior2nd_HdBoard,MasVnrType_None,MasVnrType_BrkFace,Foundation_PConc,Foundation_CBlock,BsmtExposure_No,BsmtExposure_Av,Heating_GasA,Electrical_SBrkr,GarageType_Attchd,GarageType_Detchd,PavedDrive_Y,MiscFeature_No,SaleType_WD,SaleCondition_Normal,MSSubClass_120,MSSubClass_160,MSSubClass_180,MSSubClass_190,MSSubClass_20,MSSubClass_30,MSSubClass_40,MSSubClass_45,MSSubClass_50,MSSubClass_60,MSSubClass_70,MSSubClass_75,MSSubClass_80,MSSubClass_85,MSSubClass_90,MSSubClass_150,SalePrice
0,3,65.0,8450,2,1,2,1,1,197200.0,3,2,4,7,5,2003,2003,2,3,2,2,196.0,4,3,3,4,3,1,6,706,1,0,150,856,3,5,1,3,854,1710,3,1,4,8,8,0,0,2,2003.0,2,548,3,3,3,0,61,0,0,0,0,2,2,2008,2,1,1.0,2.5,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,208500
1,3,80.0,9600,2,1,2,1,1,206000.0,2,2,3,6,8,1976,1976,2,4,2,1,0.0,3,3,1,4,3,3,5,978,1,0,284,1262,3,5,1,3,0,1262,3,1,3,6,8,1,3,2,1976.0,2,460,3,3,3,298,0,0,0,0,0,2,5,2007,2,1,0.5,2.0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,181500
2,3,68.0,11250,2,2,2,1,1,197200.0,3,2,4,7,5,2001,2002,2,3,2,2,162.0,4,3,3,4,3,2,6,486,1,0,434,920,3,5,1,3,866,1786,3,1,4,6,8,1,3,2,2001.0,2,608,3,3,3,0,42,0,0,0,0,2,9,2008,2,1,1.0,2.5,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,223500
3,3,60.0,9550,2,2,2,1,1,200624.0,3,2,4,7,5,1915,1970,2,4,2,1,0.0,3,3,1,3,4,1,5,216,1,0,540,756,3,4,1,3,756,1717,3,1,4,7,8,1,4,1,1998.0,1,642,3,3,3,0,35,272,0,0,0,2,2,2006,2,1,1.0,1.0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,140000
4,3,84.0,14260,2,2,2,1,1,301500.0,3,2,4,8,5,2000,2000,2,3,2,2,350.0,4,3,3,4,3,2,6,655,1,0,490,1145,3,5,1,3,1053,2198,4,1,4,9,8,1,3,2,2000.0,2,836,3,3,3,192,84,0,0,0,0,2,12,2008,2,1,1.0,2.5,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,250000
5,3,85.0,14115,2,2,2,1,1,154750.0,3,2,2,5,5,1993,1995,2,3,2,1,0.0,3,3,2,4,3,1,6,732,1,0,64,796,3,5,1,3,566,1362,1,1,3,5,8,0,0,2,1993.0,1,480,3,3,3,40,30,0,320,0,3,2,10,2009,2,1,1.0,1.5,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,143000
6,3,75.0,10084,2,1,2,1,1,225500.0,3,2,3,8,5,2004,2005,2,3,2,3,186.0,4,3,3,5,3,2,6,1369,1,0,317,1686,3,5,1,3,0,1694,3,1,4,7,8,1,4,2,2004.0,2,636,3,3,3,255,57,0,0,0,0,2,8,2007,2,1,1.0,2.0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,307000
7,3,69.0,10382,2,2,2,1,1,182900.0,4,2,4,7,6,1973,1973,2,4,2,3,240.0,3,3,1,4,3,2,5,859,4,32,216,1107,3,5,1,3,983,2090,3,1,3,7,8,2,3,2,1973.0,2,484,3,3,3,235,204,228,0,0,0,2,11,2009,2,1,1.0,2.5,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,200000
8,2,51.0,6120,2,1,2,1,1,118250.0,1,2,2,7,5,1931,1950,2,1,2,1,0.0,3,3,1,3,3,1,1,0,1,0,952,952,3,4,1,2,752,1774,2,2,3,8,7,2,3,1,1931.0,1,468,2,3,3,90,0,205,0,0,0,2,4,2008,2,1,0.0,2.0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,129900
9,3,50.0,7420,2,1,2,1,1,127000.0,1,1,1,5,6,1939,1950,2,4,2,1,0.0,3,3,1,3,3,1,6,851,1,0,140,991,3,5,1,3,0,1077,2,2,3,5,8,2,3,2,1939.0,2,205,4,3,3,0,4,0,0,0,0,2,1,2008,2,1,1.0,1.0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,118000
